"Rating","Comment","Author","Date","Verified?"
"5","Small but mighty The HP printer showed up with no damage. After unpacking I installed the toner . You need to follow the instructions very carefully. WIFI set up was a little tricky but after using HP Smart APP it was easy to continue. The WIFI connection never dropped on me and is good as a USB typical wired set up. I had to download the manual from HP website. I'm using an HP Desktop and iPhone. The printer capability allows you to print, scan, and copy high-quality black","firehawk396","3/25/2022","Unverified"
"5","Black %26 white printing but COLOR scanning The one question I couldn't find a straight answer to before or after purchase (until I tried it for myself) is whether it still SCANS in full color. The answer is YES! (I guessed that it would, but it was frustrating to not know. Even the manual says nothing about it.). So now I have basic home B%26W printing and can use it to convert tons of old photos to digital as well. And HP's ink program?...Actually seems like a pretty good deal.","DGandCG","3/8/2024","Verified"
"5","Handled my big print job like a champ! Amazing. It clearly states on the package that this is meant for basic office duty, but I was able to push it harder. I had a 1,000 page document I needed to print, and I went to a local office supply store for a quote. They said it would be $213 tax. I thought, ""Maybe I should just get that HP laser printer I saw at Walmart instead. They're pretty fast, and they're really efficient on ink."" At $159 plus a $48 toner cartridge (it comes with a cartridge but I had some heavy graphics on some pages), it was about the same price as the office supply store, but I'd have a whole printer left over! And thanks to Walmart's next day shipping, I had it in my hands right away. I used the 123.hp.com site to install the software on my laptop and...See more","WalmartShopperNumber9","7/2/2023","Verified"
"4","Better than ink jet for sure. This is what I needed to get away from ink jet cartridges and my usage level. This is black and white only but I seldom use color. Toner installation is easy and doesn’t dry out like ink when you don’t use often.","Elden","4/2/2023","Verified"
"3","No good service from HP. I was promised ink for 6 months and I only got three. My printer didn't recognize the 3rd ink they sent, so I didn't get the rest. On top of that, the 3rd ink cartridge was lower than the other 2 and now I'm out. I have contacted HP twice and this never was resolved, so here sits my new printer with no ink. I don't like my pages being counted and that is the biggest downfall. I was excited when I first used it because it printed out nicely, but that didn't last long.","Terri","5/10/2023","Verified"
"3","I wany to know know if your printers can be setup to print off of a chromebook w/CHROME OS. I KNOW L GOOGLE XLOUD IS GONE BUY CAN THE PRINTER WORK? OR ANY OYHER LAZER PRINTERS ? ASKING BEFORE I BUY. THANK YOU","Steven","5/4/2023","Unverified"
"2","Bad printer This is the worse printer ever! It won't connect wireless and every time you turn it on it prints information about how to connect ( already printed about 50 times) I'm returning it!","adriane","11/24/2023","Verified"
"1","Can't print without internet or cable Printer prints fine - it's a laser printer. BEWARE of HOW you are able to print. You can only use the wireless feature of this printer if you sign-up to have an account AND your printer is connected to the internet for HP to collect data from your printer. If you lose internet but your router still works, you can't print wirelessly. If your hp account is disconnected, you can't print wirelessly. The hp tech support told me to sign up or get a cable! All the descriptions should say, ""To print wirelessly with this printer, you must have an hp account and give hp irrevocable access to the data the printer collects."" No more hp products for me.","Wendy","3/20/2023","Verified"
"1","Did not like it this computer jammed and messed up all my paper","ANTOINETTE","1/9/2024","Verified"
"1","no double-sided printing I bought it because it scans but there is no double-sided printing or two pages on one","Erin","1/9/2024","Verified"
"5","Huge upgrade from my old printer This printer is a huge upgrade from my old, worn out printer. Setup was really easy, it took less than 10 minutes. I think it took me longer to unbox the printer than it did to set it up. I love how this printer takes toner cartridges rather than ink cartridges because it can print way more before having to replace the cartridge. It is a lot quieter and faster than my old printer and much easier to operate. I love how I can wirelessly print as well and print things from my phone or tablet using the app. Its printing quality is awesome as well. And the HP Instant Ink subscription service is super affordable and handy so I never run out of ink. I received this product at a discount in exchange for my honest opinion.","ErinS79","4/13/2022","Unverified"
"5","FAST I love how fast this printer is compared to other printers! It saves me time and energy. I also love that it’s compatible with HP Instant Ink, which makes it convenient to get ink refills. It was very easy to set up and connect to my phone and computer. It also was easy to send links to connect to the printer to my employees. I love that the print quality is very high. I believe this printer is an irreplaceable asset because it saves me time! I received this product at a discount in exchange for my honest opinion.","Kade","3/24/2022","Unverified"
"5","This printer is a good compact addition to my home I got this printer because I wanted to have a printer at home. I do not print at home often but when I do I really struggle and having a small printer that uses toner is perfect for me. The toner does not dry and lasts longer. Now I can print copy and scan at home wirelessly, the printer is in my home office and I can print from my cell phone, my computer or laptop wirelessly. The printer does print fast in black and white and since it can hold up to 150 sheets of paper I do not have to check it often. It prints in good quality at 600 dpi and that is great. It does support envelopes as well as paper just in case. I do like that I can subscribe with HP so I do not run out of toner, which is a plus for me. I have the HP app on my devices so I...See more","AngelM","3/23/2022","Unverified"
"5","A printer that performs larger than its size This printer literally came out of the box ready to use. The setup guide that comes in the box is super easy to read and understand. All I had to do was literally take the printer out of the box, plug it in, remove some protective tape and download the HP Smart software on my phone by taking a picture of the QR code in the Setup Guide. It was that simple! It even took only a minute to get the HP Smart Software loaded on my computer as well. The printer itself is very fast and quiet and being so small doesn’t take up much real estate on my desk at all. It works seamlessly from a phone print job to a computer one. The second I press print on any device, this printer starts working and spits out the sheet in record time. The only thing I was n...See more","Jonathan","5/17/2022","Unverified"
"5","Super Nice affordable Laser Printer This printer is perfect for my needs! I have been working from home due to the pandemic and needed a printer to print and review documents. I didn`t need a color printer so black and white works fine for me. The setup was seamless It`s been working great ever since. I've plugged it in and set up.I`m happy that it takes up less space than my old printer and I`m thrilled with the WiFi connection which my old printer did not have. I`ve even been able to print from my phone which is a nice benefit. The printer speed and quality are great. I like having the scan and copy features which will come in handy. I also like the 2-sided printing to save paper. I would definitely recommend this to anybody that needs a reliable all-in-one printer. I rec...See more","Jessica","7/5/2022","Unverified"
"5","Compact, easy to use and set up This is super easy to use! It’s rather compact and easy to set up. Fits perfectly on my desk. I don’t have a lot of space, so I like that it’s pretty small. It’s tall, but narrow. It’s fast, and prints great quality. I recommend this. This is a great little printer if you’re just needing to print or scan simple documents or term papers. It’s really easy!","Brittiebean","4/21/2022","Unverified"
"2","Doesn’t stay connected to WiFi I’ve used many Laserjet printers over the years, mostly networked by Ethernet, and this printer just doesn’t live up to the standards. Nice looking, nice print quality, when it prints. It seems to not wake to print most of the time, falls offline from the network, states there’s an invisible paper jam, has trouble printing of it has only a few sheets of paper left, but also doesn’t like too much paper. It completely forgot its WiFi connection at least once where I had to reprogram it. So much hassle for a AirPrint printer. I have another HP inkjet that cost us $20 on an Amazon Prime deal that prints through WiFi every time without issue. This just doesn’t want to work like it should. It avoids working like it is it’s job to take siestas. Aw...See more","HP Team Hi there.I’m sorry your printer has performed so poorly. I can wholly understand why you’d be discouraged, considering the d...See more","6/24/2022","Unverified"
"4","Small Scale Powerhouse I found the HP LaserJet M139we to be a little powerhouse of work. Set up was fairly simple, with a couple of glitches, which I was able to easily look up and fix with a quick peek on Google. Wi-Fi set up was easy enough. It took about 20 minutes to get set up and get going. Scanning is fast and efficient. Printing and copies are crisp and look professional. I have a work from home business, as well as a job that I sometimes work from home, so I need to copy, scan and print constantly. I needed a quality machine, and this is it. I was pleasantly surprised at the compact size! Most Laser machines I have used in the past are much larger. My ONLY minor complaint is that it is a little noisier than I prefer, but the functionality more than makes...See more","Samgray","3/28/2022","Unverified"
"5","Small, yet Big Performance My 10-year-old Color Laser printer finally died, so I was looking for a smaller replacement with scanning capabilities now that I work from home some days and need to sign some documents for work. This unit checked all the boxes. I set up the printer in minutes using the HP Smart app on my computer. After the initial setup, I then set up it on my phone and laptop. I have not used a WiFI-enabled printer before and what a difference from having to e-mail what I needed to print to my desktop which was always wired directly to my printers via USB. The printer fires off prints quickly and perfectly either through WiFi or directly. I did some prints from my phone and the convenience is a time saver. I no longer have to fire up the desktop to pr...See more","gRimLocK49","4/13/2022","Unverified"
"5","It's like a compact office printer This printer is awesome! It is everything you'd have in one of those large office printers without taking up all the space. The set-up was a breeze. It probably took less than 10 minutes. Being able to print wirelessly is great. I was able to easily print a shipping label from my phone, which was incredible. The best part is that the ink will last much longer versus using a cartridge. Even though it doesn't print in color, I'm 100% satisfied! I received this product at a discount in exchange for my honest review.","Alicia","3/30/2022","Unverified"
"1","DO NOT BUY THIS PRINTER Do not buy this printer! It is impossible to set the stupid app up. And without setting it up and attaching your printer to it, you won’t get your free 6 months of ink toner cartridges. I think this is by design so they don’t have to shell out the free ink personally. Skip this one. It isn’t worth the aggravation and the time wasted.","HP Team Hi, Vanessa.I’m sorry that your printer has performed so poorly. Your dismay comes as no surprise, considering you were unab...See more","3/3/2023","Verified"
"2","Unreliable when needed It worked for a few weeks, but then it would not connect to our network. After hours of trying to get it figured out it reached for tech support. The person that I worked with was able to help get it reset, and again for a couple of weeks it was ok but then it stopped working just as my wife was starting a very important project she needed to to do. I can’t trust this printer to work when we need it to. I reached out to HP again and this time left a message without response. I don’t have a hour plus to work with the tech support whenever I want to print a project.","Biggs","10/1/2022","Verified"
"1","The printer is unreliable and keep breakdown every 30 days.","Nga","9/16/2023","Verified"
"2","STICK WITH WIRED PRINTERS. Horrible. This is the first printer I've ever bought that works soley on wifi and I hate it. Got it because my old printer stopped scanning. This one won't scan or print cuz it won't stay connected to wifi","HP Team Hi, Joyce.I’m sorry that your printer has failed to maintain a reliable wireless connection. I can wholly understand why bei...See more","8/6/2022","Verified"
"1","AVOID!!! This is by far the worst product I've ever bought! do not buy this! The customer service is deplorable. Any good reviews must have been posted before they had a chance to have an issue. Within just a few days and a couple prints of having this product. I've had nothing but issues. First , it just stopped printing and I spent two days troubleshooting with no help from customer support. I even had my IT brother try and help me to know avail. I finally found a way to factory reset the Printer and was able to get things to print. But don't get too excited because the print jobs. We're a whole half a page of black ink. There's nowhere to re adjust the printing alignment on this printer. In summary, do not buy this product, or return it if you st...See more","Lynzi","2/21/2024","Unverified"
"5","Great Printer!!!! Love this laser printer...quick easy setup, within minutes printing from iphone,mac and ipad. Setting up Instant Ink was alittle longer only due to my address, but calling HP was just as quick because you still get a live person answering the phone. Great little price, for a great little printer. Thanks HP for making this a great decision!","Antonietta","10/30/2022","Verified"
"3","setup terrible setup requires registration including email and phone that's private info","Jeff","6/1/2023","Verified"
"1","Not Good Printer not working well with pc. had to uninstall and reinstall 3 times already","JCAT","6/13/2023","Verified"
"1","Total garbage This printer is very hard to setup, takes lot of time to setup, print. It is very hard to print from a new device.","HP Team Hi, Chandra.I’m sorry to hear that your printer was so difficult to set up, and that you’ve had a hard time connecting and p...See more","5/13/2022","Verified"
"5","Super easy to set up! I love the toner instead of ink cartridges I think it will last a lot longer. I joined up with the instant HP ink and it’s only gonna cost me $1.99 a month way cheaper than ink cartridges.","Deborah","2/17/2023","Verified"
"2","Poor setup, poor service from HP Get ready to be mad, while it might be an OK printer, setup is beyond frustrating. I'm an IT guy and i've never fought a printer so much on setup. On initial installation everything worked, the printet was recognized by the PC, scanning was an easy setup. But, after 10 pages it locks up and says that the printer setup is not comete and must be completed. Many hours later its still not working, HP support SUCKS. They may end up getting it working, but their insistence on registration is what caused the problem in the first place. Big brother watching...","Shaun","11/25/2023","Unverified"
"5","Amazing! HP has done it again. The HP LaserJet M139we Wireless Black","Dndizzle","4/3/2022","Unverified"
"1","Absolute piece of junk! Can't even try out the printer as it won't install on the computer or through the app on the phone. The computer finds it, but when you select it and click continue, nothing happens. Cell phone app can't even find the printer. Absolutely ridiculous that it is this difficult to set up a printer in 2023. How was it so easy to install a printer in 1998 and impossible 25 years later??","Absolute piece of junk! Can't even try out the printer as it won't install on the computer or through the app on the phone. The computer finds it, but when you select it and click continue, nothing happens. Cell phone app can't even find the printer. Absolutely ridiculous that it is this difficult to set up a printer in 2023. How was it so easy to install a printer in 1998 and impossible 25 years later??","8/3/2023","Unverified"
"1","As accurate! Printer would not connect. U need a PIN number. The number is not on the box or on the instruction booklet. So I’m returning the printer.","Lizzy","3/8/2023","Verified"
"1","Not worth the price, scanner is too glitchy Scan image quality is poor, not easy to set up AT ALL. Kept getting driver error messages; had to attempt drivers reloading many, many times, over several hours and days. I was not able to set up where all functions work. Strictly as a printer, it might work fine, but for the scanner function ?? A big NOPE.","Absinthia2night","5/18/2023","Unverified"
"3","Great Printer, Bad Ink Cartridge Life This printer is easy to set up and use. The only draw back is the toner cartridge. If you print a lot each month, be prepared to purchase new ink on a monthly basis. It did come with 3 months free of instaink, which was a plus for me as I printed quite a bit each month of the trial. If I was going to continue printing numerous pages each month, the instaink subscription was fine and worth paying for, but once I started paying for the subscription and going over the subscription amount, it was costly and I ended the subscription. It was better for me to purchase the ink on Amazon. Again, the drawback to this printer is the limited printing capabilities of the cartridge. Then, after I ended my instaink subscription, I started having issues wi...See more","Nonna2k","4/23/2023","Unverified"
"1","I did not like that they left my package outside were anyone can steal it","Undies","1/1/2023","Verified"
"3","Good You delivered two printers instead of one.","Anna","10/2/2022","Verified"
"4","LASER PRINTER IT WORKS GREAT AFTER A COUPLE OF HOURS OF TRYING TO GET IT TO CONNECT","RAY","3/1/2024","Unverified"
"5","Excellent laser orinter Has all the features that I need, in addition to printing — scanning %26 copying. Installation was confusing and difficult but HP customer service helped.","John","7/7/2023","Unverified"
"4","I've only had it for four days no review. It was small and compact and it was black and white.","Edward","12/28/2023","Unverified"
"1","Terrible printer I have had so many printers over the years. This is the WORST. HP forces using their shloggy slow, incompetent software for wireless use. THEN the printer won't stay connected. This is worse than no printer. Returning it immediately.","Maria","8/31/2022","Unverified"
"3","I am returning to the store. The printer doesnt feed the paper properly.","Javier","10/26/2023","Unverified"
"5","Highly recommend for college students. Awesome printer. My wife is in nursing school and has to print stuff off a lot. Last printer we had we kept having ink issues. I seen this at the store and couldn’t believe how good the price was for a laser printer. Set up was a breeze. Love that me and my wife and anyone hooked to the wifi at home can use this printer. I bought this with my own money and did not receive anything. I highly recommend for college students. Or anyone needing to print alot. The toner cartridges are way cheaper thank ink also.","Backwoodsbagger","4/3/2022","Unverified"
"5","HP LaserJet MFP M139we Wireless Black HP Laserjet M139we is an amazing product and I would highly recommend to all the ones who uses printer, scanner and copier. HP has taken an intelligent step to club all of these 3 capabilities in one which has provided a customer an efficient way to use it effectively. Salient features: 1. Laser printer - I have used it extensively as i just recently got it. Laser printer is great and really helps you to complete your job in a timely manner. The tray has been placed at a right place and takes a bunch of paper at one time and the wireless functionality makes it really easier to send the command from anywhere without having a hassle of wires n all. 2. Copier: This is the best thing in which HP has embedded the copier with the printer which re...See more","Umer","6/30/2022","Unverified"
"5","Great We have needed a new printer for a while for my work and my boys school and all I can say is I love this little printer! First it takes up little room which I love! It's fast when coping or send it through the Wi-Fi unable drive way which I love being able to send from my phone or tablet without having to open my computer! My 9 year old son loves to print coloring pictures and he dan operate this one by himself without having me stop what I'm doing and printing for him! This is just an overal great printer and perfect for my family! received this product at a discount in exchange for my honest opinion.","Jennifer","4/6/2022","Unverified"
"5","Great Little Printer! Amazing little work horse!! This printer was very easy to set up, just took a few minutes! If all you need is to print in black and white this is the machine for you. It is fast, quiet, and takes up very little space! Have been using for a week now and love the quality of the prints. The wireless printing is very convenient as everyone is able to print from their own device with out having to use any wires! The toner replacement cost is possible the only concern, but it seems that it will last a long time! I received this product at a discount in exchange for my honest review.","Jackeline","5/11/2022","Unverified"
"1","Negative This printer sucks. It only prints black, no color and doesn’t print 2 sided. Way to expensive for the loss of features. These positive opinions are from people who got a discount buying it in exchange for a positive opinion on here and they probably brought it back afterwards. HP printers suck, they have broken up all the features so you have to pay way more for a printer now with less features and HP printers break and you never get them to work again. They don’t care, they just take your money.","HP Team Hi there.I’m sorry that you’re so thoroughly dissatisfied with your printer. I can understand your frustration in not findin...See more","5/11/2022","Unverified"
"5","Love it! This is a great printer. Setting it up was super easy with the HP Smart app on my computer and I was up and running in less than 10 minutes. The prints are great on plain paper, and look even better on a nice laser paper. My customers have never been happier with the quality of their prints. It prints really quickly, I had 100 pages printed in a few minutes. I love the small footprint of this printer. It takes up a small amount of space in my small office which is a huge plus for me. It came with a toner already installed which is great but I really like that it came with 6 months of HP Instant Ink and I've already received my first shipment of toner for free. The wireless feature is pretty standard, however I had no issue connecting it to ...See more","pixxiestix","7/6/2022","Unverified"
"5","GREAT! This is a great and affordable printer. It's not too heavy so it is easy to setup and move around. It is super quick and not too noisy. The app is great! You can make copies, scan, and even send a fax through the app. I love it so far, and it has made my work way more efficient. I received this product at a discount in exchange for my honest review.","Ana","8/17/2022","Unverified"
"5","Love it! This is a great printer. Setting it up was super easy with the HP Smart app on my computer and I was up and running in less than 10 minutes. The prints are great on plain paper, and look even better on a nice laser paper. My customers have never been happier with the quality of their prints. It prints really quickly, I had 100 pages printed in a few minutes. I love the small footprint of this printer. It takes up a small amount of space in my small office which is a huge plus for me. It came with a toner already installed which is great but I really like that it came with 6 months of HP Instant Ink and I've already received my first shipment of toner for free. The wireless feature is pretty standard, however I had no issue connecting it to ...See more","Pixxiestix","3/25/2022","Unverified"
"5","Gets the job done This HP Laserjet printer is small but works just as well as any other. Extremely easy to set up. pretty much just plug it in and connect to wifi. The wifi connection is simple and every time i turn it on it is automatically connected. So far after a month of use, the paper feed has never jammed. It is speedy and precise. The ink is dark and had never smeared or had any patches. scanning is fast and efficient. This printer will get your job done. The only downside is that there is no color. I would recommend this to anyone with large printing jobs that do not require color. I received this product at a discounted rate in exchange for my honest opinion.","Stephen","5/3/2022","Unverified"
"4","Great printer This is a really great little printer for the money. It has a relatively small footprint that doesn’t take up a ton of space on the desk. Print speed is adequate. No major issues on waiting for a print job to complete and every page looks amazing. Sharp, crisp prints that are easy to read and don’t fade. The one issue I had was that the printer only has 2.4 ghz wireless and I mainly run on 5ghz from my laptop so getting it set up was interesting till o realized what the issue was. After that everything worked as expected. This printer comes with the usual site of HP apps and software. Easy to use and set up. My brand new Computer worked flawlessly. Highly recommended. I received this printer at a discount for my honest opinion.","Barry","4/20/2022","Unverified"
"5","Small printer that acts big received this printer at a discount for my honest review. This printer is an easy one to recommend. It came out of the box and I set it up and had it working in less than 10 minutes. It doesn't require a lot of space which is great as I didn't have a lot of room on my desk. It works seamlessly with my laptop and my Android phone. There are features I have yet to tap into because my printing needs are simple. I want it to print fast (which it does) and I don't want to see messy printing. This printer produces great output. I printed out one picture to see what it would look like, and I was pleasantly surprised at the quality it produced. If there was one area for improvement it would be the paper tray, although with its diminutive size I'm n...See more","NiteOwl","7/2/2022","Unverified"
"1","Terrible machine never works","israel","5/24/2023","Unverified"
"1","Do not buy it if you are planning on using it. This printer is TERRIBLE. It can not print more than 50 pages without running into issues, and goes through ink like crazy. I am on my third ink purchase with printing less than 1k pages. **DO NOT BUY**","HP Team Hi, Cindy.I’m sorry that your printer has performed poorly for you. I can wholly understand why unreliable printing and rapi...See more","7/15/2022","Unverified"
"4","A great cheap printer for printing files and papers, and the Bluetooth connectivity is super convenient. The app thing is a little confusing though, and I wish HP would not push it so aggressively, but it is what it is.","Alisa","3/6/2023","Unverified"
"4","Personally hard to set up. Had my son in law set it up for me. Once done easy to use. And reliable. Would recommend to more tech knowledgeable person.","RIENZI","4/28/2022","Unverified"
"1","Terrible. Requires internet and all print scan Terrible. U must have internet account tied to printer and on phone for printer to work","Matt","7/23/2022","Unverified"
"5","Simplistic Printer with Advanced Function The HP LaserJet M139we Black","Sed10201","4/9/2022","Unverified"
